iter	Passed	Remaining
439	1349	1718
440	1356	1719
441	1372	1732
442	1381	1736
443	1384	1733
444	1387	1730
445	1393	1730
446	1400	1733
447	1404	1730
448	1417	1739
449	1423	1739
450	1432	1743
451	1439	1745
452	1442	1741
453	1444	1737
454	1447	1733
455	1451	1731
456	1454	1728
457	1456	1723
458	1458	1719
459	1460	1714
460	1462	1710
461	1464	1705
462	1466	1700
463	1468	1696
464	1470	1692
465	1472	1687
466	1474	1682
467	1476	1678
468	1479	1674
469	1481	1671
470	1484	1667
471	1486	1663
472	1489	1659
473	1491	1655
474	1493	1651
475	1496	1646
476	1498	1642
477	1500	1638
478	1502	1634
479	1505	1630
480	1507	1626
481	1509	1622
482	1512	1619
483	1515	1615
484	1517	1611
485	1520	1607
486	1524	1606
487	1527	1602
488	1529	1598
489	1532	1595
490	1534	1591
491	1537	1587
492	1540	1584
493	1543	1580
494	1546	1577
495	1549	1574
496	1555	1574
497	1560	1572
498	1564	1570
499	1569	1569
500	1573	1567
501	1578	1565
502	1582	1563
503	1603	1578
504	1615	1583
505	1624	1585
506	1626	1581
507	1632	1581
508	1635	1577
509	1646	1581
510	1648	1577
511	1650	1573
512	1657	1573
513	1659	1569
514	1662	1565
515	1665	1561
516	1667	1558
517	1670	1554
518	1675	1553
519	1679	1550
520	1681	1545
521	1690	1547
522	1692	1543
523	1694	1539
524	1697	1535
525	1701	1532
526	1706	1531
527	1709	1528
528	1712	1524
529	1717	1523
530	1719	1519
531	1721	1514
532	1724	1510
533	1729	1508
534	1733	1507
535	1736	1503
536	1741	1501
537	1743	1497
538	1751	1498
539	1753	1493
540	1756	1490
541	1758	1485
542	1760	1481
543	1762	1477
544	1764	1473
545	1766	1469
546	1769	1465
547	1775	1464
548	1782	1464
549	1784	1460
550	1788	1457
551	1791	1454
552	1794	1450
553	1797	1446
554	1799	1442
555	1801	1438
556	1807	1437
557	1809	1433
558	1811	1429
559	1813	1425
560	1816	1421
561	1824	1422
562	1827	1418
563	1829	1413
564	1831	1409
565	1836	1408
566	1838	1403
567	1840	1399
568	1842	1395
569	1844	1391
570	1846	1387
571	1849	1383
572	1852	1380
573	1854	1376
574	1856	1371
575	1858	1367
576	1861	1364
577	1867	1363
578	1870	1360
579	1873	1356
580	1875	1352
581	1879	1349
582	1881	1346
583	1883	1341
584	1886	1338
585	1889	1334
586	1892	1331
587	1898	1330
588	1900	1326
589	1902	1321
590	1904	1317
591	1907	1314
592	1910	1310
593	1913	1307
594	1916	1304
595	1920	1301
596	1923	1298
597	1928	1296
598	1931	1292
599	1932	1288
600	1935	1284
601	1937	1280
602	1939	1276
603	1941	1272
604	1944	1269
